nodes_reporting_id,id,parent_node_id,unique_id,name,active,folder_id,node_type_id,archive_number,metadata,created_at,updated_at,csv_errors,heartbeat,application_id,device_location,device_location_note,vendor_device_id,vendor_id,order_status,functionName,functionVersion,iccid,model
311,11131,11131,mnt-68781,Smart Ranger - 68781,True,5235,186,0,"{""Heartbeat"":""720"",""application_id"":""45"",""device_location"":"""",""device_location_note"":""\u003cp\u003e\r\n\tLocated at the AMIG house in Cincinnati\u003c/p\u003e\r\n"",""vendor_device_id"":""68781"",""vendor_id"":""2""}",2018-01-26 16:16:45,2018-11-02 21:08:29,,720,45,,"<p>
	Located at the AMIG house in Cincinnati</p>
",68781,2,,,,,
312,11132,11132,mnt-87642,Temperature - 87642,True,5235,177,0,"{""Heartbeat"":""10"",""application_id"":""2"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""87642"",""vendor_id"":""2""}",2018-01-26 16:16:45,2018-11-02 21:08:29,,10,2,,,87642,2,,,,,
313,11133,11133,mnt-99631,Rope Water Area Sensor - 99631,True,5235,188,0,"{""Heartbeat"":""10"",""application_id"":""78"",""device_location"":""Installed on a roof"",""device_location_note"":""\u003cp\u003e\r\n\tLocated at the AMIG house in Cincinnati\u003c/p\u003e\r\n"",""vendor_device_id"":""99631"",""vendor_id"":""2""}",2018-01-26 16:16:45,2018-11-02 21:08:30,,10,78,Installed on a roof,"<p>
	Located at the AMIG house in Cincinnati</p>
",99631,2,,,,,
314,11134,11134,mnt-127085,Sensor 20 Open / Closed - 127085,True,5275,184,0,"{""Heartbeat"":""15"",""application_id"":""9"",""device_location"":""On cabinet door in 23rd floor config room"",""device_location_note"":"""",""vendor_device_id"":""127085"",""vendor_id"":""2""}",2018-01-26 16:16:53,2018-01-26 16:16:53,,15,9,On cabinet door in 23rd floor config room,,127085,2,,,,,
315,11135,11135,mnt-127168,VIB Meter Demo - Fan,True,5275,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""127168"",""vendor_id"":""2""}",2018-01-26 16:16:53,2018-01-26 16:16:53,,10,95,,,127168,2,,,,,
316,11136,11136,mnt-127296,Vibration Meter - 127296,True,5275,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""127296"",""vendor_id"":""2""}",2018-01-26 16:16:53,2018-01-26 16:16:53,,10,95,,,127296,2,,,,,
317,11137,11137,mnt-148099,Button - 148099 TEST,True,5275,179,0,"{""Heartbeat"":""15"",""application_id"":""11"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""148099"",""vendor_id"":""2""}",2018-01-26 16:16:53,2018-01-26 16:16:53,,15,11,,,148099,2,,,,,
318,11138,11138,mnt-94180,Smart Ranger - 94180,True,5275,186,0,"{""Heartbeat"":""120"",""application_id"":""45"",""device_location"":""right next to the bubbler"",""device_location_note"":"""",""vendor_device_id"":""94180"",""vendor_id"":""2""}",2018-01-26 16:16:54,2018-01-26 16:16:54,,120,45,right next to the bubbler,,94180,2,,,,,
319,11139,11139,mnt-89950,Sensor 3 Temperature - 89950,True,5276,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""89950"",""vendor_id"":""2""}",2018-01-26 16:16:54,2018-01-26 16:16:54,,15,2,,,89950,2,,,,,
320,11140,11140,mnt-114244,Ethernet Gateway - 114244,True,5236,187,0,"{""Heartbeat"":""5"",""application_id"":""0"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""114244"",""vendor_id"":""2""}",2018-01-26 16:16:54,2018-02-13 21:52:10,,5,0,,,114244,2,,,,,
321,11141,11140,mnt-130517,Water Heater,True,5236,188,0,"{""Heartbeat"":""15"",""application_id"":""4"",""device_location"":""Conference Room"",""device_location_note"":"""",""vendor_device_id"":""130517"",""vendor_id"":""2""}",2018-01-26 16:16:54,2018-02-13 21:52:11,,15,4,Conference Room,,130517,2,,,,,
322,11142,11140,mnt-131688,Vib Water Main - 131688,True,5236,193,0,"{""Heartbeat"":""15"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""131688"",""vendor_id"":""2""}",2018-01-26 16:16:55,2018-02-13 21:52:11,,15,95,,,131688,2,,,,,
323,11143,11140,mnt-131690,Vib Well Pump Relay - 131690,True,5236,193,0,"{""Heartbeat"":""15"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""131690"",""vendor_id"":""2""}",2018-01-26 16:16:55,2018-02-13 21:52:12,,15,95,,,131690,2,,,,,
324,11144,11144,mnt-113971,CGW2 Verizon - 113971,True,5237,187,0,"{""Heartbeat"":""15"",""application_id"":""0"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""113971"",""vendor_id"":""2""}",2018-01-26 16:18:20,2018-11-02 21:08:30,,15,0,,,113971,2,,,,,
325,11145,11145,mnt-124347,Wooden Walk-in - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Basement, First walk-in by the stairs with wooden exterior"",""device_location_note"":"""",""vendor_device_id"":""124347"",""vendor_id"":""2""}",2018-01-26 16:18:20,2018-11-02 21:08:31,,15,2,"Basement, First walk-in by the stairs with wooden exterior",,124347,2,,,,,
326,11146,11146,mnt-127106,Meat Prep Walk In - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Above center beam in meat processing walk-in"",""device_location_note"":"""",""vendor_device_id"":""127106"",""vendor_id"":""2""}",2018-01-26 16:18:20,2018-11-02 21:08:31,,15,2,Above center beam in meat processing walk-in,,127106,2,,,,,
327,11147,11147,mnt-127119,New Reach In - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Behind cases of beer, bottom shelf"",""device_location_note"":"""",""vendor_device_id"":""127119"",""vendor_id"":""2""}",2018-01-26 16:18:20,2018-11-02 21:08:32,,15,2,"Behind cases of beer, bottom shelf",,127119,2,,,,,
328,11148,11148,mnt-127130,Polar Cooler Refrigerator - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Back of fridge, attached beneath right hand side of the top shelf"",""device_location_note"":"""",""vendor_device_id"":""127130"",""vendor_id"":""2""}",2018-01-26 16:18:21,2018-11-02 21:08:32,,15,2,"Back of fridge, attached beneath right hand side of the top shelf",,127130,2,,,,,
329,11149,11149,mnt-127142,Polar Cooler Freezer - Temperature - WFT,False,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Above Door, attached to beam"",""device_location_note"":"""",""vendor_device_id"":""127142"",""vendor_id"":""2""}",2018-01-26 16:18:21,2018-11-02 21:08:33,,15,2,"Above Door, attached to beam",,127142,2,,,,,
330,11150,11150,mnt-130505,Retail Space - Humidity - HMD,True,5237,183,0,"{""Heartbeat"":""15"",""application_id"":""43"",""device_location"":""Retail Space "",""device_location_note"":"""",""vendor_device_id"":""130505"",""vendor_id"":""2""}",2018-01-26 16:18:21,2018-11-02 21:08:33,,15,43,Retail Space ,,130505,2,,,,,
331,11151,11151,mnt-130506,Dairy Case - Humidity - HRT,False,5237,183,0,"{""Heartbeat"":""15"",""application_id"":""43"",""device_location"":""Dairy Case"",""device_location_note"":"""",""vendor_device_id"":""130506"",""vendor_id"":""2""}",2018-01-26 16:18:22,2018-11-02 21:08:34,,15,43,Dairy Case,,130506,2,,,,,
332,11152,11152,mnt-130514,Basement - Humidity - HMD,True,5237,183,0,"{""Heartbeat"":""15"",""application_id"":""43"",""device_location"":""Basement - Near Office"",""device_location_note"":"""",""vendor_device_id"":""130514"",""vendor_id"":""2""}",2018-01-26 16:18:22,2018-11-02 21:08:34,,15,43,Basement - Near Office,,130514,2,,,,,
333,11153,11153,mnt-130515,5 Door Freezer - Humidity - HFT,False,5237,183,0,"{""Heartbeat"":""15"",""application_id"":""43"",""device_location"":""Five Door Freezer"",""device_location_note"":"""",""vendor_device_id"":""130515"",""vendor_id"":""2""}",2018-01-26 16:18:23,2018-11-02 21:08:35,,15,43,Five Door Freezer,,130515,2,,,,,
