device_id,folder-id,cnt,dt_min,dt_max,folder-name,account_number,device_location_note,name,x_activation_date,x_first_operation_date,datasources,device_ids,channel_names,current_date,heartbeat_interval,freq,end_datetime_training,ts_len,mse_threshold_train,nbr_days
mnt-333309,5258,337,2019-01-21 17:03:43+00:00,2019-01-25 13:42:12+00:00,Holmberg Orchard,,,Retail Space - Walk-In Refrigerator (By Glass Doors) - Temperature - WRT,2019-01-21 17:03:43+00:00,,mnubo_smartobjects,mnt-333309,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-333316,5514,362,2019-01-21 17:01:23+00:00,2019-01-25 13:49:54+00:00,Oak Orchard Dairy,,,Vaccine Refrigerator - Temperature - 333316,2019-01-21 17:16:25+00:00,,mnubo_smartobjects,mnt-333316,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-333332,5258,322,2019-01-21 17:03:43+00:00,2019-01-25 13:44:53+00:00,Holmberg Orchard,,,Retail Space - Walk-In Refrigerator (On Condensate Pipe) - Temperature - WRT,2019-01-21 17:03:43+00:00,,mnubo_smartobjects,mnt-333332,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-333354,5512,375,2019-01-21 17:02:26+00:00,2019-01-25 13:46:44+00:00,Watt Fruit,,,Walk-In Refrigerator - Temperature - 333354,2019-01-21 17:17:21+00:00,,mnubo_smartobjects,mnt-333354,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-333360,13148,267,2019-01-21 17:11:12+00:00,2019-01-25 13:41:12+00:00,St. Joseph Lexington Avenue,,,Temperature - Reach-In Refrigerator DeSent Left - 15 Lafayette Ave - 333360,2019-01-21 17:11:12+00:00,,mnubo_smartobjects,mnt-333360,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343855,5266,374,2019-01-21 17:04:18+00:00,2019-01-25 13:42:01+00:00,Rockville Church,,,Kitchen Right Freezer - Temperature - WFT,2019-01-21 17:04:18+00:00,,mnubo_smartobjects,mnt-343855,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343857,5266,354,2019-01-21 17:04:18+00:00,2019-01-25 13:42:00+00:00,Rockville Church,,,Kitchen Left Freezer - Temperature - WFT,2019-01-21 17:04:18+00:00,,mnubo_smartobjects,mnt-343857,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343858,5266,349,2019-01-21 17:02:41+00:00,2019-01-25 13:42:00+00:00,Rockville Church,,,Storage Freezer - Temperature,2019-01-21 17:02:41+00:00,,mnubo_smartobjects,mnt-343858,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343859,5266,365,2019-01-21 17:01:33+00:00,2019-01-25 13:42:01+00:00,Rockville Church,,,Kitchen Right Refrigerator - Temperature - WRT,2019-01-21 17:01:33+00:00,,mnubo_smartobjects,mnt-343859,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343865,5266,368,2019-01-21 17:04:18+00:00,2019-01-25 13:42:00+00:00,Rockville Church,,,Kitchen Left Refrigerator - Temperature - WRT,2019-01-21 17:04:18+00:00,,mnubo_smartobjects,mnt-343865,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343866,5266,206,2019-01-22 04:04:22+00:00,2019-01-25 13:42:00+00:00,Rockville Church,,,Storage Split Freezer - Temperature,2019-01-22 04:04:30+00:00,,mnubo_smartobjects,mnt-343866,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-343869,5266,378,2019-01-21 17:01:30+00:00,2019-01-25 13:42:00+00:00,Rockville Church,,,Storage Split Refrigerator - Temperature,2019-01-21 17:01:30+00:00,,mnubo_smartobjects,mnt-343869,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-356301,13148,246,2019-01-21 17:13:57+00:00,2019-01-25 13:50:37+00:00,St. Joseph Lexington Avenue,,,Temperature - Chest Freezer - 15 Lafayette Ave - 356301,2019-01-21 17:13:57+00:00,,mnubo_smartobjects,mnt-356301,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-356302,13148,248,2019-01-21 17:00:20+00:00,2019-01-25 13:45:20+00:00,St. Joseph Lexington Avenue,,,Temperature - Reach-In Freezer Left- 15 Lafayette Ave - 356302,2019-01-21 17:15:20+00:00,,mnubo_smartobjects,mnt-356302,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-356303,13148,165,2019-01-21 17:03:32+00:00,2019-01-25 13:48:32+00:00,St. Joseph Lexington Avenue,,,Temperature - Reach-In Freezer Right - 15 Lafayette Ave - 356303,2019-01-21 17:03:32+00:00,,mnubo_smartobjects,mnt-356303,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-356305,13148,241,2019-01-21 17:14:19+00:00,2019-01-25 13:44:19+00:00,St. Joseph Lexington Avenue,,,Temperature - Reach-In Refrigerator D&#39;Anton - 15 Lafayette Ave -356305,2019-01-21 17:14:19+00:00,,mnubo_smartobjects,mnt-356305,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-363233,5126,358,2019-01-21 17:14:08+00:00,2019-01-25 13:42:02+00:00,Learning Corridor,,,Walk-In Freezer - WFT,2019-01-21 17:14:08+00:00,,mnubo_smartobjects,mnt-363233,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-363235,5126,355,2019-01-21 17:06:53+00:00,2019-01-25 13:42:02+00:00,Learning Corridor,,,Walk-In Refrigerator (Right) - WRT,2019-01-21 17:06:53+00:00,,mnubo_smartobjects,mnt-363235,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-363240,5126,369,2019-01-21 17:03:14+00:00,2019-01-25 13:42:03+00:00,Learning Corridor,,,Walk-In Refrigerator (Left) - WRT,2019-01-21 17:03:14+00:00,,mnubo_smartobjects,mnt-363240,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
